city,state_id,state_name,country
Rapid City,SD,South Dakota,United States
Troy,MI,Michigan,United States
Livermore,CA,California,United States
Citrus Heights,CA,California,United States
Hawthorne,CA,California,United States
Winchester,VA,Virginia,United States
Springdale,AR,Arkansas,United States
Whittier,CA,California,United States
Deerfield Beach,FL,Florida,United States
Decatur,IL,Illinois,United States
San Ramon,CA,California,United States
Vineland,NJ,New Jersey,United States
Mission,TX,Texas,United States
Auburn,WA,Washington,United States
Lake Forest,CA,California,United States
Newport Beach,CA,California,United States
Melbourne,FL,Florida,United States
Brooklyn Park,MN,Minnesota,United States
Bryan,TX,Texas,United States
Westland,MI,Michigan,United States
Napa,CA,California,United States
Baytown,TX,Texas,United States
Cicero,IL,Illinois,United States
Anderson,IN,Indiana,United States
Franklin,TN,Tennessee,United States
Farmington Hills,MI,Michigan,United States
Buena Park,CA,California,United States
Albany,GA,Georgia,United States
Pine Hills,FL,Florida,United States
State College,PA,Pennsylvania,United States
Redwood City,CA,California,United States
Warwick,RI,Rhode Island,United States
Jackson,MI,Michigan,United States
Cranston,RI,Rhode Island,United States
Largo,FL,Florida,United States
Miami Beach,FL,Florida,United States
Alhambra,CA,California,United States
Johns Creek,GA,Georgia,United States
Mountain View,CA,California,United States
Salisbury,MD,Maryland,United States
Morgantown,WV,West Virginia,United States
Silver Spring,MD,Maryland,United States
Layton,UT,Utah,United States
Springfield,OH,Ohio,United States
Lakewood,CA,California,United States
Florence,AL,Alabama,United States
Folsom,CA,California,United States
Madera,CA,California,United States
New Rochelle,NY,New York,United States
Parma,OH,Ohio,United States
Terre Haute,IN,Indiana,United States
Somerville,MA,Massachusetts,United States
Flagstaff,AZ,Arizona,United States
Boynton Beach,FL,Florida,United States
Homestead,FL,Florida,United States
Newark,OH,Ohio,United States
Plymouth,MN,Minnesota,United States
Anniston,AL,Alabama,United States
Texarkana,TX,Texas,United States
Tustin,CA,California,United States
Pharr,TX,Texas,United States
Port Huron,MI,Michigan,United States
Turlock,CA,California,United States
Rancho Cordova,CA,California,United States
The Villages,FL,Florida,United States
Milpitas,CA,California,United States
Perris,CA,California,United States
Upland,CA,California,United States
Alton,IL,Illinois,United States
Pleasanton,CA,California,United States
Kendall,FL,Florida,United States
Jonesboro,AR,Arkansas,United States
Bellflower,CA,California,United States
Battle Creek,MI,Michigan,United States
Chino Hills,CA,California,United States
Cheyenne,WY,Wyoming,United States
Lebanon,PA,Pennsylvania,United States
Carmichael,CA,California,United States
South Jordan,UT,Utah,United States
Davis,CA,California,United States
Elizabethtown,KY,Kentucky,United States
Schaumburg,IL,Illinois,United States
Alameda,CA,California,United States
Hammond,IN,Indiana,United States
Pasco,WA,Washington,United States
Evanston,IL,Illinois,United States
Lehi,UT,Utah,United States
Alexandria,LA,Louisiana,United States
North Port,FL,Florida,United States
Arlington Heights,IL,Illinois,United States
Camarillo,CA,California,United States
Wyoming,MI,Michigan,United States
Flower Mound,TX,Texas,United States
Bethlehem,PA,Pennsylvania,United States
Hattiesburg,MS,Mississippi,United States
Loveland,CO,Colorado,United States
Pittsburg,CA,California,United States
Cedar Park,TX,Texas,United States
Wenatchee,WA,Washington,United States
Southfield,MI,Michigan,United States
Rochester Hills,MI,Michigan,United States
Hammond,LA,Louisiana,United States
Valdosta,GA,Georgia,United States
Owensboro,KY,Kentucky,United States
Apple Valley,CA,California,United States
Woodbury,MN,Minnesota,United States
Pawtucket,RI,Rhode Island,United States
St. Joseph,MO,Missouri,United States
Doral,FL,Florida,United States
Dover,NH,New Hampshire,United States
Missouri City,TX,Texas,United States
Saratoga Springs,NY,New York,United States
Pocatello,ID,Idaho,United States
Oshkosh,WI,Wisconsin,United States
New Britain,CT,Connecticut,United States
Castle Rock,CO,Colorado,United States
Lauderhill,FL,Florida,United States
Broomfield,CO,Colorado,United States
Dale City,VA,Virginia,United States
Bolingbrook,IL,Illinois,United States
Redmond,WA,Washington,United States
Caguas,PR,Puerto Rico,United States
Mansfield,TX,Texas,United States
Ellicott City,MD,Maryland,United States
Sheboygan,WI,Wisconsin,United States
Mansfield,OH,Ohio,United States
Glens Falls,NY,New York,United States
Daytona Beach,FL,Florida,United States
Lodi,CA,California,United States
Redlands,CA,California,United States
Harrisonburg,VA,Virginia,United States
Dothan,AL,Alabama,United States
Cleveland,TN,Tennessee,United States
Jackson,TN,Tennessee,United States
Mount Vernon,NY,New York,United States
Centreville,VA,Virginia,United States
Altoona,PA,Pennsylvania,United States
Framingham,MA,Massachusetts,United States
Camden,NJ,New Jersey,United States
Georgetown,TX,Texas,United States
Baldwin Park,CA,California,United States
Rocklin,CA,California,United States
Porterville,CA,California,United States
Tamarac,FL,Florida,United States
Glen Burnie,MD,Maryland,United States
Blacksburg,VA,Virginia,United States
Wausau,WI,Wisconsin,United States
Sumter,SC,South Carolina,United States
Janesville,WI,Wisconsin,United States
Brunswick,GA,Georgia,United States
Dublin,CA,California,United States
Wilmington,DE,Delaware,United States
Waukesha,WI,Wisconsin,United States
Fairbanks,AK,Alaska,United States
Lakeville,MN,Minnesota,United States
St. Charles,MO,Missouri,United States
Redondo Beach,CA,California,United States
Spring Hill,TN,Tennessee,United States
Bayonne,NJ,New Jersey,United States
Grand Forks,ND,North Dakota,United States
Noblesville,IN,Indiana,United States
Guaynabo,PR,Puerto Rico,United States
El Paso de Robles,CA,California,United States
North Richland Hills,TX,Texas,United States
Maple Grove,MN,Minnesota,United States
Passaic,NJ,New Jersey,United States
Blaine,MN,Minnesota,United States
Lake Elsinore,CA,California,United States
Rogers,AR,Arkansas,United States
Casas Adobes,AZ,Arizona,United States
Sherman,TX,Texas,United States
Walnut Creek,CA,California,United States
Conway,AR,Arkansas,United States
Eastvale,CA,California,United States
Union City,CA,California,United States
Michigan City,IN,Indiana,United States
Poinciana,FL,Florida,United States
Tulare,CA,California,United States
Gary,IN,Indiana,United States
Gaithersburg,MD,Maryland,United States
East Orange,NJ,New Jersey,United States
Wesley Chapel,FL,Florida,United States
West Des Moines,IA,Iowa,United States
Dalton,GA,Georgia,United States
Dubuque,IA,Iowa,United States
Schenectady,NY,New York,United States
Ankeny,IA,Iowa,United States
Maricopa,AZ,Arizona,United States
Eagan,MN,Minnesota,United States
Hanford,CA,California,United States
Bristol,TN,Tennessee,United States
Yorba Linda,CA,California,United States
Weston,FL,Florida,United States
Watsonville,CA,California,United States
Palo Alto,CA,California,United States
South Hill,WA,Washington,United States
Shawnee,KS,Kansas,United States
San Marcos,TX,Texas,United States
Great Falls,MT,Montana,United States
Haverhill,MA,Massachusetts,United States
Union City,NJ,New Jersey,United States
Palatine,IL,Illinois,United States
Longview,WA,Washington,United States
Corvallis,OR,Oregon,United States
Rockville,MD,Maryland,United States
Skokie,IL,Illinois,United States
Mount Vernon,WA,Washington,United States
Casper,WY,Wyoming,United States
Ames,IA,Iowa,United States
Delray Beach,FL,Florida,United States
Sammamish,WA,Washington,United States
Lynwood,CA,California,United States
Dundalk,MD,Maryland,United States
Bethesda,MD,Maryland,United States
Morristown,TN,Tennessee,United States
Juana Díaz,PR,Puerto Rico,United States
Kankakee,IL,Illinois,United States
Fajardo,PR,Puerto Rico,United States
Alpharetta,GA,Georgia,United States
Novi,MI,Michigan,United States
Kenner,LA,Louisiana,United States
Bay City,MI,Michigan,United States
Victoria,TX,Texas,United States
South San Francisco,CA,California,United States
Apex,NC,North Carolina,United States
Parkersburg,WV,West Virginia,United States
Malden,MA,Massachusetts,United States
Castro Valley,CA,California,United States
Bozeman,MT,Montana,United States
Brentwood,NY,New York,United States
Waltham,MA,Massachusetts,United States
Pflugerville,TX,Texas,United States
North Little Rock,AR,Arkansas,United States
Brentwood,CA,California,United States
Laguna Niguel,CA,California,United States
San Clemente,CA,California,United States
Burnsville,MN,Minnesota,United States
Spring,TX,Texas,United States
Port Charlotte,FL,Florida,United States
Eden Prairie,MN,Minnesota,United States
Greenwood,IN,Indiana,United States
Millcreek,UT,Utah,United States
Bellevue,NE,Nebraska,United States
Coon Rapids,MN,Minnesota,United States
Rowlett,TX,Texas,United States
Hamilton,OH,Ohio,United States
Lakewood,WA,Washington,United States
Florence-Graham,CA,California,United States
Commerce City,CO,Colorado,United States
Bossier City,LA,Louisiana,United States
Taylor,MI,Michigan,United States
La Habra,CA,California,United States
Port Orange,FL,Florida,United States
Moore,OK,Oklahoma,United States
Council Bluffs,IA,Iowa,United States
Leander,TX,Texas,United States
Dearborn Heights,MI,Michigan,United States
Reston,VA,Virginia,United States
Montebello,CA,California,United States
Pontiac,MI,Michigan,United States
Encinitas,CA,California,United States
Queen Creek,AZ,Arizona,United States
Medford,MA,Massachusetts,United States
Springfield,OR,Oregon,United States
Hendersonville,TN,Tennessee,United States
Palm Harbor,FL,Florida,United States
Pico Rivera,CA,California,United States
Marietta,GA,Georgia,United States
Wellington,FL,Florida,United States
Sanford,FL,Florida,United States
Woodland,CA,California,United States
Caldwell,ID,Idaho,United States
Huntersville,NC,North Carolina,United States
Bristol,CT,Connecticut,United States
Jupiter,FL,Florida,United States
San Rafael,CA,California,United States
La Mesa,CA,California,United States
Richland,WA,Washington,United States
Revere,MA,Massachusetts,United States
Meriden,CT,Connecticut,United States
Monterey Park,CA,California,United States
Gardena,CA,California,United States
Euless,TX,Texas,United States
Des Plaines,IL,Illinois,United States
West Allis,WI,Wisconsin,United States
North Miami,FL,Florida,United States
St. Cloud,FL,Florida,United States
The Hammocks,FL,Florida,United States
Cupertino,CA,California,United States
Taylorsville,UT,Utah,United States
Petaluma,CA,California,United States
Kokomo,IN,Indiana,United States
Santee,CA,California,United States
Stonecrest,GA,Georgia,United States
Taunton,MA,Massachusetts,United States
White Plains,NY,New York,United States
Palm Beach Gardens,FL,Florida,United States
Chapel Hill,NC,North Carolina,United States
Hoboken,NJ,New Jersey,United States
Parker,CO,Colorado,United States
Blue Springs,MO,Missouri,United States
Shoreline,WA,Washington,United States
St. Clair Shores,MI,Michigan,United States
Horizon West,FL,Florida,United States
Margate,FL,Florida,United States
Orland Park,IL,Illinois,United States
Carson City,NV,Nevada,United States
Midwest City,OK,Oklahoma,United States
Royal Oak,MI,Michigan,United States
Bowie,MD,Maryland,United States
Kettering,OH,Ohio,United States
St. Peters,MO,Missouri,United States
Oak Lawn,IL,Illinois,United States
Towson,MD,Maryland,United States
Coconut Creek,FL,Florida,United States
Decatur,AL,Alabama,United States
Lenexa,KS,Kansas,United States
Bartlett,TN,Tennessee,United States
South Whittier,CA,California,United States
Lake Havasu City,AZ,Arizona,United States
